id,target
0,0.03749
1,0.03769
2,0.03910
3,0.03394
4,0.03854
5,0.03759
6,0.03772
8,0.03594
10,0.04310
11,0.03866
12,0.03763
14,0.03736
15,0.04234
18,0.04046
21,0.04012
23,0.03831
24,0.03745
25,0.03852
27,0.03507
29,0.03891
30,0.03808
31,0.03949
32,0.04385
33,0.03508
37,0.03795
38,0.03808
39,0.04246
40,0.03727
41,0.03890
42,0.03553
44,0.03802
45,0.03509
47,0.03962
49,0.03614
51,0.04082
52,0.03334
53,0.03933
54,0.03922
55,0.03805
56,0.03703
57,0.04264
59,0.04180
60,0.03744
62,0.03904
63,0.04402
67,0.03994
68,0.03541
69,0.03852
70,0.03788
71,0.03801
73,0.03651
75,0.03638
76,0.03746
81,0.03564
82,0.03998
83,0.03967
86,0.03990
87,0.04058
88,0.03874
91,0.03931
92,0.03876
94,0.03936
97,0.03871
100,0.03853
102,0.03822
103,0.03709
105,0.03837
106,0.04604
108,0.03948
113,0.04190
114,0.03831
115,0.03359
118,0.04125
122,0.03661
124,0.04129
126,0.04035
128,0.04008
129,0.03798
130,0.03723
131,0.03644
132,0.03765
133,0.03601
134,0.04028
135,0.03899
136,0.03531
139,0.03663
140,0.03996
141,0.04042
146,0.03894
148,0.04173
151,0.03593
152,0.04331
154,0.03715
157,0.03584
158,0.03523
159,0.04220
161,0.03612
164,0.03374
165,0.04349
167,0.04053
168,0.04083
169,0.03619
171,0.03871
172,0.04582
173,0.03440
174,0.03884
175,0.03955
176,0.03529
178,0.03973
179,0.03773
180,0.03674
181,0.03527
182,0.04288
183,0.04003
184,0.04405
185,0.03652
187,0.03728
188,0.03356
190,0.03821
191,0.03985
192,0.04108
195,0.03898
196,0.03985
198,0.04161
201,0.03856
202,0.04134
203,0.03584
204,0.03819
207,0.03700
213,0.03845
219,0.03539
220,0.03507
222,0.04212
226,0.03391
228,0.04051
230,0.03824
231,0.03681
232,0.03807
233,0.03919
234,0.03450
236,0.03731
237,0.03571
238,0.04578
240,0.03987
241,0.03622
242,0.03881
243,0.03695
245,0.03609
246,0.03765
247,0.03667
249,0.04361
250,0.03545
251,0.03778
252,0.03885
253,0.03463
254,0.03739
255,0.04190
256,0.03637
257,0.03806
258,0.03829
259,0.04728
260,0.03492
262,0.03695
267,0.03664
268,0.03662
270,0.03432
272,0.03634
273,0.03597
274,0.03495
275,0.04087
276,0.03828
277,0.03830
278,0.04267
279,0.03983
281,0.03847
282,0.03833
283,0.03708
287,0.03658
288,0.04106
289,0.03912
290,0.04070
291,0.03822
292,0.04398
293,0.03760
294,0.03854
295,0.03824
296,0.04422
297,0.04045
298,0.04092
299,0.03939
300,0.04220
303,0.03979
304,0.04342
308,0.03706
314,0.04140
315,0.03691
317,0.03912
318,0.03911
320,0.04136
322,0.04126
323,0.04006
327,0.03745
329,0.04260
331,0.03562
332,0.04394
333,0.04177
334,0.03749
335,0.03558
336,0.03830
337,0.03741
341,0.04045
343,0.03635
345,0.03631
347,0.03538
348,0.04053
349,0.03798
352,0.03764
353,0.03537
354,0.03776
355,0.03804
356,0.04031
357,0.03873
358,0.03733
359,0.03618
361,0.03931
362,0.03647
365,0.04014
366,0.03710
368,0.03850
369,0.03530
371,0.03857
373,0.03503
376,0.03694
377,0.04026
379,0.03694
381,0.03816
382,0.03918
383,0.03588
384,0.03927
385,0.03908
386,0.03962
387,0.03674
388,0.04051
390,0.03894
391,0.03682
392,0.04031
393,0.03610
394,0.03738
396,0.03775
400,0.03785
402,0.03741
403,0.03410
405,0.03852
407,0.04050
409,0.03822
411,0.03741
412,0.03878
414,0.04221
415,0.03899
416,0.03487
418,0.03591
419,0.03703
421,0.03858
422,0.04003
423,0.03795
424,0.03938
426,0.03574
427,0.04155
428,0.03503
436,0.03817
438,0.03920
442,0.03909
443,0.03488
445,0.03608
446,0.03614
447,0.03735
450,0.03985
452,0.03948
453,0.04010
455,0.03799
458,0.04101
459,0.03527
461,0.03885
463,0.03343
467,0.03996
470,0.03715
471,0.03876
472,0.03569
476,0.04324
477,0.03572
481,0.03815
482,0.04217
483,0.03814
485,0.04008
487,0.03637
488,0.03656
490,0.03491
492,0.03760
494,0.04230
497,0.04124
499,0.03840
500,0.04117
501,0.03703
503,0.03503
505,0.03801
506,0.03882
507,0.03750
509,0.04094
510,0.04076
511,0.03976
512,0.03486
514,0.03744
515,0.03551
516,0.03633
517,0.04469
519,0.03485
520,0.03621
521,0.04032
522,0.03734
523,0.04069
527,0.03891
530,0.03933
532,0.03870
534,0.03474
536,0.03590
539,0.03739
543,0.03704
547,0.04029
550,0.04126
551,0.03876
552,0.03926
553,0.03838
555,0.04021
556,0.03932
557,0.03535
558,0.03807
559,0.03677
560,0.03654
561,0.03825
565,0.03952
566,0.03819
567,0.03858
571,0.03929
572,0.04014
574,0.03575
575,0.03682
576,0.04019
577,0.04306
578,0.03691
579,0.03744
581,0.03502
587,0.03565
589,0.03583
590,0.04375
591,0.03739
592,0.04017
593,0.03725
594,0.04654
595,0.03808
596,0.03369
597,0.03672
598,0.04495
600,0.03648
602,0.03624
605,0.03724
606,0.03707
607,0.03682
612,0.03336
613,0.03670
614,0.03563
615,0.03789
616,0.03748
617,0.04007
618,0.03884
620,0.04007
621,0.03426
622,0.03978
623,0.03757
628,0.03997
631,0.04115
632,0.03620
633,0.03717
634,0.04148
635,0.04356
637,0.03775
638,0.04402
640,0.03664
643,0.03630
644,0.04099
645,0.04054
646,0.03995
649,0.03926
651,0.03657
653,0.03567
654,0.03959
655,0.04342
656,0.03550
658,0.03974
659,0.03497
661,0.03679
662,0.04010
663,0.03616
664,0.03964
665,0.03784
667,0.03745
668,0.03667
671,0.03687
673,0.03877
674,0.03863
675,0.03551
676,0.03879
677,0.03535
678,0.03745
679,0.03882
680,0.03973
681,0.04024
682,0.03754
683,0.03502
684,0.03712
686,0.04181
687,0.04015
688,0.03896
690,0.03669
691,0.03884
692,0.04329
693,0.03855
694,0.03726
695,0.03576
696,0.03771
698,0.03875
699,0.03469
702,0.03659
703,0.03561
705,0.04304
706,0.03899
707,0.03927
708,0.03443
709,0.04017
710,0.03927
713,0.03786
714,0.03834
715,0.03936
716,0.04457
717,0.03962
718,0.03930
719,0.03709
720,0.04282
721,0.03623
723,0.03930
724,0.04169
726,0.03610
728,0.04415
730,0.03470
732,0.03505
734,0.03453
735,0.04005
737,0.03622
738,0.04153
741,0.03974
742,0.03846
743,0.03690
746,0.03570
747,0.04022
749,0.03675
750,0.03963
752,0.04041
755,0.03599
757,0.03752
758,0.03904
759,0.03775
765,0.04049
766,0.03694
767,0.04547
768,0.03715
769,0.03679
770,0.03399
771,0.03779
772,0.03546
773,0.04085
775,0.03864
776,0.03769
778,0.03805
779,0.04176
780,0.03653
782,0.03634
783,0.04000
784,0.03861
785,0.03629
786,0.03778
788,0.03612
789,0.03869
792,0.04102
793,0.03605
794,0.04085
797,0.03901
798,0.03368
799,0.04151
800,0.03608
801,0.04355
802,0.03913
805,0.03500
807,0.03728
808,0.03821
811,0.03516
813,0.03708
814,0.04099
815,0.04437
816,0.03819
817,0.03657
819,0.03508
821,0.03690
823,0.03644
825,0.03855
826,0.03470
827,0.03427
828,0.03518
830,0.04075
831,0.04221
833,0.03447
834,0.03930
835,0.03965
836,0.03676
837,0.03722
838,0.03857
840,0.03623
842,0.03509
844,0.04243
845,0.03757
847,0.03807
848,0.04074
850,0.03817
851,0.03625
852,0.03942
853,0.04336
855,0.03865
856,0.03682
857,0.03989
859,0.04019
860,0.04140
862,0.03927
863,0.04171
864,0.03961
867,0.03799
868,0.03742
869,0.03990
871,0.03731
873,0.03905
875,0.04061
876,0.03801
877,0.03578
879,0.03957
880,0.04472
883,0.04112
884,0.03854
885,0.03643
886,0.03577
887,0.03643
888,0.03907
891,0.03959
893,0.03643
895,0.04236
897,0.03722
898,0.04390
901,0.03989
902,0.04236
904,0.03748
905,0.03654
907,0.04347
908,0.03707
909,0.04010
910,0.03463
911,0.03631
913,0.04166
914,0.03738
915,0.04461
916,0.03763
917,0.03764
919,0.03715
920,0.03931
923,0.03730
924,0.03492
925,0.03667
926,0.03761
928,0.03753
929,0.03318
932,0.03809
935,0.04025
936,0.03942
937,0.03683
938,0.04085
939,0.03612
940,0.03863
941,0.03896
944,0.03962
945,0.03670
946,0.04638
947,0.04108
949,0.03732
950,0.03541
952,0.03911
953,0.03848
955,0.03601
956,0.03754
957,0.03640
960,0.03576
961,0.03973
962,0.03961
963,0.03463
964,0.04284
967,0.03921
975,0.04340
976,0.03532
977,0.03875
978,0.03948
980,0.03633
985,0.03921
986,0.04447
987,0.03713
989,0.03623
992,0.03733
994,0.03942
995,0.04110
996,0.03558
997,0.03871
998,0.03530
999,0.03844
1000,0.03903
1004,0.03925
1005,0.04472
1006,0.03937
1007,0.04216
1010,0.03755
1011,0.04390
1012,0.03491
1013,0.03910
1014,0.03847
1016,0.04126
1018,0.04357
1019,0.03773
1020,0.03821
1022,0.04121
1023,0.03683
1024,0.03871
1025,0.03758
1029,0.03952
1031,0.03473
1032,0.03716
1033,0.03847
1034,0.04206
1035,0.04072
1036,0.03782
1037,0.03495
1038,0.03713
1039,0.03797
1041,0.03564
1043,0.03881
1049,0.03930
1050,0.04255
1051,0.03870
1052,0.03970
