id,target,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin
7,0,2,2,5,1,0,0,1,0,0,0,0,0,0,0,11,0,1,0,0.7,0.2,0.718070331,10,1,-1,0,1,4,1,0,0,1,12,2,0.4,0.883678918,0.370809924,3.605551276,0.6,0.5,0.2,3,1,10,1,10,1,5,9,1,5,8,0,1,1,0,0,1
9,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0.8,0.4,0.766077672,11,1,-1,0,-1,11,1,1,2,1,19,3,0.316227766,0.618816519,0.388715835,2.449489743,0.3,0.1,0.3,2,1,9,5,8,1,7,3,1,1,9,0,1,1,0,1,0
13,0,5,4,9,1,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0,0,-1,7,1,-1,0,-1,14,1,1,2,1,60,1,0.316227766,0.641585716,0.347275107,3.31662479,0.5,0.7,0.1,2,2,9,1,8,2,7,4,2,7,7,0,1,1,0,1,0
16,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,0.2,0.580947502,7,1,0,0,1,11,1,1,3,1,104,1,0.374165739,0.54294879,0.294957624,2,0.6,0.9,0.1,2,4,7,1,8,4,2,2,2,4,9,0,0,0,0,0,0
17,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0.7,0.6,0.840758586,11,1,-1,0,-1,14,1,1,2,1,82,3,0.316069613,0.565831503,0.365102725,2,0.4,0.6,0,2,2,6,3,10,2,12,3,1,1,3,0,0,0,1,1,0
19,0,5,1,4,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0.9,1.8,2.332648709,10,0,-1,0,0,14,1,1,0,1,104,2,0.445982062,0.879049073,0.40620192,3,0.7,0.8,0.4,3,1,8,2,11,3,8,4,2,0,9,0,1,0,1,1,1
20,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0.6,0.1,0.617454452,6,1,-1,0,1,11,1,1,0,1,99,2,0.316227766,0.639682902,0.368781778,3.16227766,0.2,0.6,0.5,2,2,8,1,8,3,10,3,0,0,10,0,1,0,0,1,0
22,0,5,1,4,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.7,0.4,0.60724789,11,1,0,0,0,11,1,1,2,1,30,3,0.446989933,0.900573738,0.374833296,3.31662479,0.1,0.5,0.1,1,2,7,1,6,1,13,7,1,3,6,1,0,1,0,1,0
26,0,5,1,3,1,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0.9,0.7,0.901387819,10,1,-1,0,1,14,1,1,0,1,68,3,0.4,0.780641292,0.407430976,2.828427125,0.9,0.8,0.6,3,1,7,3,9,4,11,4,2,1,5,0,1,0,0,0,1
28,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0.9,1.4,2.316651679,11,0,0,1,0,14,1,1,2,1,104,2,0.447213595,1.458184369,0.390256326,3.605551276,0.7,0.8,0.8,2,2,8,2,9,1,11,3,5,0,6,0,1,0,0,1,0
34,0,5,2,2,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0.5,0.4,0.795691523,11,1,-1,8,-1,13,1,1,2,1,20,3,0.447213595,0.875197734,0.429534632,2.828427125,0.8,0.1,0,2,3,8,2,9,4,7,6,3,3,6,0,1,1,0,1,1
35,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0.9,0.1,0.378318649,11,0,-1,0,-1,11,1,0,0,1,36,3,0.374165739,0.954491341,0.379341535,3.741657387,0.3,0.7,0.5,2,2,8,2,10,1,8,9,2,1,10,0,1,0,1,0,0
36,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0.5,0.2,0.548292805,6,1,-1,0,-1,11,1,1,2,1,101,3,0.374165739,0.765339011,0.38509739,3.16227766,0.7,0.8,0.9,4,1,8,4,11,1,9,6,3,3,8,0,0,1,0,0,1
43,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0.7,0.9,0.684196609,9,1,0,0,1,6,1,1,2,1,104,3,0.4,0.983311154,0.356089876,3.605551276,0.8,0.7,0.6,2,1,10,1,8,3,8,2,0,4,3,0,0,1,0,1,0
46,0,5,1,11,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0.8,0.6,1.052971984,11,1,-1,0,-1,11,1,1,2,1,103,1,0.316227766,0.566524857,0.358329457,2.645751311,0.4,0.4,0.1,3,1,8,2,6,3,12,4,1,3,9,0,0,0,0,1,0
48,0,5,1,3,1,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0.4,0.3,-1,6,1,-1,9,1,15,1,0,0,1,41,2,0.547722558,1.719157972,0.532916504,3.741657387,0.5,0.4,0.2,2,1,9,5,10,2,13,5,2,6,7,0,1,1,0,1,0
50,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0.6,0.3,0.699553429,11,1,-1,1,-1,3,1,1,0,1,59,3,0.316227766,0.763704001,0.349857114,3.605551276,0.3,0,0.3,2,1,10,6,7,3,5,3,3,1,8,0,0,1,0,0,0
58,0,5,1,6,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0.9,0.5,0.810863737,11,1,1,0,0,11,1,0,2,1,104,2,0.316227766,0.876294792,0.320780299,3.605551276,0.2,0.6,0.1,1,3,8,2,9,1,10,9,1,3,9,0,1,1,0,0,0
61,0,5,1,8,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0.3,0.3,-1,7,1,-1,0,-1,0,1,1,2,1,43,3,0.4,0.668228199,0.366333182,2.828427125,0.4,0.3,0.3,3,1,8,3,11,2,11,3,1,6,5,0,0,0,1,0,0
