id,target
0,0.02631
1,0.03127
2,0.02465
3,0.01625
4,0.03233
5,0.03325
6,0.01806
8,0.02836
10,0.05196
11,0.03189
12,0.03267
14,0.02028
15,0.05378
18,0.05286
21,0.04873
23,0.02899
24,0.02628
25,0.04829
27,0.02061
29,0.04332
30,0.02825
31,0.05602
32,0.03729
33,0.01650
37,0.03330
38,0.04205
39,0.07847
40,0.03306
41,0.03964
42,0.02574
44,0.05032
45,0.02193
47,0.04464
49,0.02674
51,0.04043
52,0.01472
53,0.04387
54,0.05295
55,0.02443
56,0.01872
57,0.04953
59,0.03736
60,0.03737
62,0.03358
63,0.08067
67,0.04126
68,0.01688
69,0.04368
70,0.02166
71,0.03182
73,0.03806
75,0.02172
76,0.01745
81,0.03009
82,0.02786
83,0.03495
86,0.02632
87,0.04859
88,0.05070
91,0.04753
92,0.02781
94,0.03600
97,0.03127
100,0.02467
102,0.03704
103,0.02409
105,0.04046
106,0.05100
108,0.04970
113,0.04216
114,0.03750
115,0.01753
118,0.07123
122,0.02520
124,0.05511
126,0.02706
128,0.05580
129,0.03964
130,0.02246
131,0.01913
132,0.02143
133,0.02089
134,0.03914
135,0.03890
136,0.01834
139,0.02732
140,0.02040
141,0.04859
146,0.03297
148,0.03542
151,0.02225
152,0.05494
154,0.02924
157,0.02808
158,0.01844
159,0.05427
161,0.02005
164,0.01015
165,0.04255
167,0.04577
168,0.03662
169,0.02513
171,0.04089
172,0.06791
173,0.02457
174,0.03426
175,0.03644
176,0.02044
178,0.04403
179,0.01847
180,0.02436
181,0.01543
182,0.08497
183,0.03902
184,0.08202
185,0.03168
187,0.03145
188,0.00883
190,0.02467
191,0.03024
192,0.03439
195,0.04404
196,0.03373
198,0.05822
201,0.03456
202,0.03906
203,0.01406
204,0.03094
207,0.03468
213,0.02598
219,0.01439
220,0.02571
222,0.05219
226,0.01333
228,0.04939
230,0.03663
231,0.02503
232,0.02112
233,0.04623
234,0.01616
236,0.03119
237,0.02029
238,0.06708
240,0.03766
241,0.01934
242,0.04919
243,0.04563
245,0.02139
246,0.02530
247,0.02144
249,0.09251
250,0.02031
251,0.02670
252,0.02119
253,0.01268
254,0.04511
255,0.05446
256,0.03466
257,0.02773
258,0.02489
259,0.04882
