id,target
0,0.03606
1,0.06543
2,0.04790
3,0.00559
4,0.00379
5,0.01561
6,0.04118
8,0.03958
10,0.06313
11,0.06508
12,0.06938
14,0.01527
15,0.06573
18,0.05943
21,0.06035
23,0.01826
24,0.05398
25,0.05194
27,0.05210
29,0.04828
30,0.01030
31,0.13269
32,0.03970
33,0.04570
37,0.07121
38,0.07709
39,0.09188
40,0.03023
41,0.04988
42,0.03304
44,0.01640
45,0.03054
47,0.06568
49,0.01918
51,0.06931
52,0.01775
53,0.04801
54,0.09551
55,0.00553
56,0.00841
57,0.13460
59,0.03979
60,0.07628
62,0.01549
63,0.13627
67,0.01562
68,0.00510
69,0.13192
70,0.03569
71,0.08018
73,0.03498
75,0.01820
76,0.01997
81,0.00780
82,0.01000
83,0.00952
86,0.01812
87,0.05329
88,0.00488
91,0.09920
92,0.03298
94,0.00426
97,0.06160
100,0.03330
102,0.05170
103,0.00913
105,0.08514
106,0.08007
108,0.02732
113,0.09141
114,0.01018
115,0.01711
118,0.12492
122,0.01782
124,0.02555
126,0.03278
128,0.04555
129,0.07448
130,0.05224
131,0.00959
132,0.02706
133,0.01897
134,0.01257
135,0.07464
136,0.01823
139,0.00147
140,0.01241
141,0.11975
146,0.04132
148,0.00427
151,0.01120
152,0.03077
154,0.07981
157,0.04670
158,0.00550
159,0.08553
161,0.03100
164,0.00408
165,0.05118
167,0.03967
168,0.07613
169,0.04541
171,0.09939
172,0.04270
173,0.01427
174,0.01092
175,0.03106
176,0.03471
178,0.06696
179,0.01687
180,0.01066
181,0.00608
182,0.16290
183,0.06540
184,0.11199
185,0.05081
187,0.05431
188,0.01252
190,0.02217
191,0.03430
192,0.08703
195,0.03551
196,0.03539
198,0.04300
201,0.07514
202,0.06708
203,0.01767
204,0.00967
207,0.01745
213,0.03547
219,0.03134
220,0.02212
222,0.10313
226,0.00183
228,0.13292
230,0.01442
231,0.02174
232,0.03891
233,0.00212
234,0.00236
236,0.06099
237,0.03446
238,0.09057
240,0.07401
241,0.02341
242,0.13506
243,0.01230
245,0.00344
246,0.04280
247,0.01620
249,0.01801
250,0.01860
251,0.00622
252,0.01495
253,0.00469
254,0.06468
255,0.11431
256,0.06086
257,0.02288
258,0.01613
259,0.09771
260,0.00076
262,0.00606
